year,rgb,rgb
2001,F8F184,101
2001,FF800D,89
2001,008F9B,80
2001,0020A0,71
2001,6074A1,69
2001,FCFCFC,65
2001,A0BCAC,62
2001,AEEFEC,48
2001,5A93DB,47
2001,84B68D,43
2001,E0E0E0,42
2001,DF6695,39
2001,81007B,32
2001,BBE90B,30
2001,F5CD2F,29
2001,C870A0,27
2001,BBA53D,25
2001,635F52,21
2001,898788,21
2001,D67572,21
2001,845E84,15
2001,899B5F,13
2001,FFA70B,13
2001,4C61DB,12
2001,720E0F,12
2001,CFE2F7,10
2001,4354A3,9
2001,C7D23C,8
2001,FA9C1C,8
2001,4B9F4A,7
2001,A5A5CB,7
2001,DBAC34,7
2001,6C96BF,6
2001,73DCA1,6
2001,645A4C,5
2001,C9CAE2,5
2001,DAB000,5
2001,FBE696,5
2001,0A3463,4
2001,A5A9B4,4
2001,A95500,4
2001,D4D5C9,4
2001,0033B2,3
2001,55A5AF,3
2001,9CA3A8,3
2001,DCBC81,3
2001,AE7A59,2
2001,C2DAB8,2
2001,FC97AC,2
2001,AA4D8E,1
2001,B3D7D1,1
2001,B4D2E3,1
2002,05131D,3543
2002,9BA19D,2054
2002,FFFFFF,1306
2002,C91A09,1217
2002,6D6E5C,1177
2002,F2CD37,1010
2002,0055BF,544
2002,237841,451
2002,583927,369
2002,E4CD9E,269
2002,FE8A18,246
2002,F8F184,115
2002,FCFCFC,95
2002,A0BCAC,93
2002,5A93DB,83
2002,BBE90B,83
2002,E0E0E0,70
2002,FF800D,68
2002,84B68D,58
2002,0020A0,56
2002,635F52,55
2002,720E0F,53
2002,898788,53
2002,9CA3A8,53
2002,AEEFEC,52
2002,81007B,46
2002,F5CD2F,43
2002,0A3463,42
2002,BBA53D,37
2002,6074A1,33
2002,A95500,32
2002,575857,31
2002,C870A0,25
2002,0033B2,24
2002,4B9F4A,23
2002,FFA70B,23
2002,7988A1,22
2002,DF6695,20
2002,FBE696,19
2002,008F9B,18
2002,CFE2F7,16
2002,4354A3,12
2002,4C61DB,10
2002,B4D2E3,10
2002,A5A5CB,9
2002,B3D7D1,8
2002,FA9C1C,8
2002,FC97AC,8
2002,D4D5C9,6
2002,A5A9B4,5
2002,F9BA61,5
2002,55A5AF,4
2002,923978,4
2002,958A73,4
2002,C2DAB8,4
2002,D67572,4
2002,645A4C,3
2002,73DCA1,3
2002,845E84,2
2002,AA4D8E,2
2002,FECCCF,2
2002,6C96BF,1
2002,AA7F2E,1
2002,ABADAC,1
2002,C7D23C,1
2002,C9CAE2,1
2002,D09168,1
2002,DAB000,1
2003,05131D,3711
2003,9BA19D,2544
2003,FFFFFF,1771
2003,6D6E5C,1729
2003,C91A09,1432
2003,F2CD37,1200
2003,0055BF,882
2003,E4CD9E,545
2003,237841,385
2003,583927,383
2003,FE8A18,246
2003,6C6E68,208
2003,A0A5A9,191
2003,FCFCFC,185
2003,F5CD2F,125
2003,635F52,107
2003,898788,107
2003,FF800D,104
2003,5A93DB,98
2003,0A3463,90
2003,9CA3A8,86
2003,720E0F,77
2003,A95500,77
2003,0020A0,76
2003,C870A0,67
2003,84B68D,65
2003,A0BCAC,65
2003,DF6695,61
2003,FFA70B,60
2003,4B9F4A,57
2003,F8F184,55
2003,BBE90B,54
2003,6074A1,52
2003,4354A3,43
2003,AEEFEC,38
2003,E0E0E0,38
2003,81007B,37
2003,575857,31
2003,FC97AC,27
2003,CFE2F7,23
2003,BBA53D,20
2003,4C61DB,16
2003,A5A5CB,15
2003,E4ADC8,15
2003,582A12,14
2003,923978,14
2003,73DCA1,13
2003,B3D7D1,13
2003,FBE696,13
2003,D67572,11
2003,D9E4A7,11
2003,F6D7B3,11
2003,C7D23C,10
2003,B48455,9
2003,C1DFF0,9
2003,F2F3F2,9
2003,FA9C1C,9
2003,008F9B,8
2003,AA4D8E,7
2003,FEBABD,7
2003,0033B2,6
2003,DCBC81,6
2003,6C96BF,4
2003,F08F1C,4
2003,F9BA61,4
2003,7988A1,3
2003,899B5F,3
2003,A5A9B4,3
2003,ABADAC,3
2003,AE7A59,3
2003,D09168,3
2003,184632,2
2003,645A4C,2
2003,958A73,2
2003,55A5AF,1
2003,7DBFDD,1
2003,9FC3E9,1
2003,B4D2E3,1
2003,C2DAB8,1
2003,DAB000,1
2003,E6E3DA,1
2003,FECCCF,1
2004,05131D,2772
2004,A0A5A9,1837
2004,FFFFFF,1750
2004,C91A09,1454
2004,6C6E68,1276
2004,F2CD37,1037
2004,0055BF,796
2004,237841,444
2004,E4CD9E,370
2004,582A12,331
2004,FE8A18,258
2004,9BA19D,252
2004,720E0F,225
2004,FCFCFC,207
2004,6D6E5C,205
2004,5A93DB,160
2004,6074A1,157
2004,DF6695,139
2004,0A3463,136
2004,AEEFEC,122
2004,FF800D,112
2004,4C61DB,107
2004,583927,106
2004,F5CD2F,106
2004,0020A0,101
2004,3F3691,91
2004,84B68D,87
2004,A0BCAC,86
2004,9CA3A8,81
2004,635F52,75
2004,C870A0,75
2004,184632,68
2004,A95500,67
2004,898788,62
2004,F8F184,60
2004,BBE90B,59
2004,4B9F4A,46
2004,A5A5CB,45
2004,E0E0E0,43
2004,6874CA,42
2004,F08F1C,42
2004,BBA53D,38
2004,CFE2F7,37
2004,FFA70B,35
2004,E4ADC8,32
2004,FC97AC,32
2004,B3D7D1,31
2004,3592C3,26
2004,7C503A,26
2004,F6D7B3,26
2004,D4D5C9,20
2004,923978,18
2004,008F9B,17
2004,C7D23C,17
2004,E6E3E0,17
2004,B48455,16
2004,7DBFDD,15
2004,575857,14
2004,81007B,14
2004,AE7A59,14
2004,C1DFF0,13
2004,D9E4A7,11
2004,9FC3E9,9
2004,B4D2E3,9
2004,958A73,8
2004,D67572,8
2004,73DCA1,7
2004,7988A1,7
2004,AA4D8E,6
2004,DCBC81,6
2004,FA9C1C,6
2004,FFF03A,6
2004,0033B2,5
2004,D09168,5
2004,55A5AF,4
2004,CD6298,4
2004,F9BA61,4
2004,4354A3,3
2004,A5A9B4,3
2004,FEBABD,3
2004,645A4C,2
2004,F8BB3D,2
2004,E6E3DA,1
2004,FBE696,1
2005,05131D,3117
2005,A0A5A9,1883
2005,6C6E68,1825
2005,FFFFFF,1246
2005,C91A09,1234
2005,F2CD37,963
2005,0055BF,581
2005,E4CD9E,543
2005,582A12,450
2005,720E0F,383
2005,237841,309
2005,FE8A18,184
2005,898788,159
2005,5A93DB,137
2005,0A3463,118
2005,9CA3A8,106
2005,635F52,102
2005,FF800D,101
2005,184632,96
2005,DF6695,91
2005,FCFCFC,88
2005,BBE90B,80
2005,0020A0,75
2005,583927,70
2005,F5CD2F,67
2005,AEEFEC,57
2005,E4ADC8,57
2005,A95500,56
2005,9BA19D,54
2005,A5A5CB,51
2005,6074A1,49
2005,F8BB3D,44
2005,6D6E5C,42
2005,84B68D,38
2005,3F3691,36
2005,CFE2F7,36
2005,F8F184,35
2005,7C503A,32
2005,A0BCAC,32
2005,C870A0,32
2005,F08F1C,27
2005,3592C3,26
2005,B48455,26
2005,6874CA,25
2005,923978,24
2005,B3D7D1,23
2005,D9E4A7,22
2005,000000,21
2005,4B9F4A,21
2005,A5A9B4,21
2005,E6E3E0,21
2005,F6D7B3,21
2005,958A73,20
2005,BBA53D,17
2005,C1DFF0,16
2005,FC97AC,16
2005,4C61DB,15
2005,575857,15
2005,96709F,15
2005,E0E0E0,15
2005,CD6298,14
2005,AE7A59,13
2005,81007B,12
2005,B4D2E3,9
2005,D4D5C9,9
2005,BDC6AD,8
2005,C2DAB8,8
2005,AA7F2E,7
2005,F2F3F2,7
2005,7988A1,6
2005,9FC3E9,6
2005,DBAC34,6
2005,008F9B,4
